genome,domaine,phylum,habitat_binnedfrom,depth_binnedfrom,functional_group,substrate,Rmax,K
73.20110800_P1M.3,Bacteria,Proteobacteria,palsa,mid,Nitrate reductase,Nitrate,0.05103742304311035,0.24930640298957848
73.20111000_P1D.30,Bacteria,Proteobacteria,palsa,deep,Nitrate reductase,Nitrate,0.06840664018298279,0.3060782962958008
73.20111000_P1D.32,Bacteria,Gemmatimonadetes,palsa,deep,Nitrate reductase,Nitrate,0.12879704188246155,0.4942550243955718
73.20111000_P1D.8,Bacteria,Acidobacteria,palsa,deep,Nitrate reductase,Nitrate,0.07973207092106482,0.31135669940396565
73.20111000_P2D.26,Bacteria,Actinobacteria,palsa,deep,Nitrate reductase,Nitrate,0.09956163414773238,0.4014117306729531
73.20111000_P3D.19,Bacteria,Acidobacteria,palsa,deep,Nitrate reductase,Nitrate,0.13996663241609364,0.45837466165454416
73.20111000_P3M.104,Bacteria,Actinobacteria,palsa,mid,Nitrate reductase,Nitrate,0.11536254922317113,0.451048931054438
73.20111000_P3M.19,Bacteria,Acidobacteria,palsa,mid,Nitrate reductase,Nitrate,0.05264934789689442,0.25656976467612524
73.20111000_P3M.21,Bacteria,WPS2,palsa,mid,Nitrate reductase,Nitrate,0.05868125360571292,0.27108080061745615
73.20111000_P3M.52,Bacteria,AD3,palsa,mid,Nitrate reductase,Nitrate,0.13787210111632475,0.5232610260438515
73.20111000_P3M.58,Bacteria,Nitrospirae,palsa,mid,Nitrate reductase,Nitrate,0.06531924163656956,0.2946367885815793
73.20120500_P26.10,Bacteria,Actinobacteria,palsa,series,Nitrate reductase,Nitrate,0.1331779098127188,0.505723003260665
73.20120500_P26.11,Bacteria,Acidobacteria,palsa,series,Nitrate reductase,Nitrate,0.08468251917653631,0.32789096803354967
73.20120500_P26.6,Bacteria,AD3,palsa,series,Nitrate reductase,Nitrate,0.09840247310754752,0.3968880798696275
73.20120500_P27.1,Bacteria,Proteobacteria,palsa,series,Nitrate reductase,Nitrate,0.054415436243884154,0.25843097754929856
73.20120500_P27.13,Bacteria,Actinobacteria,palsa,series,Nitrate reductase,Nitrate,0.04531114476657679,0.23123374932818624
73.20120500_P27.30,Bacteria,Actinobacteria,palsa,series,Nitrate reductase,Nitrate,0.11255299057842844,0.4399885424279547
73.20120500_P28.26,Bacteria,Actinobacteria,palsa,series,Nitrate reductase,Nitrate,0.08313360982716081,0.349758151208226
73.20120500_P28.34,Bacteria,Proteobacteria,palsa,series,Nitrate reductase,Nitrate,0.06540308938875393,0.2948871355270955
73.20120500_P28.39,Bacteria,Chloroflexi,palsa,series,Nitrate reductase,Nitrate,0.04968709661176958,0.2439633011351056
73.20120500_P28.8,Bacteria,Proteobacteria,palsa,series,Nitrate reductase,Nitrate,0.14103101369416846,0.4868630156031149
73.20120500_P28.9,Bacteria,Acidobacteria,palsa,series,Nitrate reductase,Nitrate,0.07218727194429582,0.2916854181632513
73.20120500_P32.13,Bacteria,Actinobacteria,palsa,series,Nitrate reductase,Nitrate,0.048644842879485305,0.24142231204200287
73.20120500_P38.14,Bacteria,Acidobacteria,palsa,series,Nitrate reductase,Nitrate,0.0550067779521547,0.261263502525501
73.20120500_P39.11,Bacteria,Acidobacteria,palsa,series,Nitrate reductase,Nitrate,0.10990980968984594,0.3984606477261821
73.20120500_P39.29,Bacteria,Actinobacteria,palsa,series,Nitrate reductase,Nitrate,0.09710057108764894,0.3962548655165199
73.20120700_P2D.31,Bacteria,Proteobacteria,palsa,deep,Nitrate reductase,Nitrate,0.09785218924470183,0.399521202580183
73.20120700_P3D.169,Bacteria,Proteobacteria,palsa,deep,Nitrate reductase,Nitrate,0.06743366454317107,0.304249391045434
73.20120700_P3D.181,Bacteria,Actinobacteria,palsa,deep,Nitrate reductase,Nitrate,0.04386255706326942,0.22593801981118572
73.20120700_P3D.216,Bacteria,Actinobacteria,palsa,deep,Nitrate reductase,Nitrate,0.09403785954521415,0.3815068310554437
73.20120700_P3D.240,Bacteria,Proteobacteria,palsa,deep,Nitrate reductase,Nitrate,0.08049935710481093,0.33950274829830707
73.20120700_P3D.282,Bacteria,Proteobacteria,palsa,deep,Nitrate reductase,Nitrate,0.08075424211087973,0.339827969353093
73.20120700_P3D.45,Bacteria,AD3,palsa,deep,Nitrate reductase,Nitrate,0.13282976662218193,0.505733443949867
73.20120700_P3D.53,Bacteria,Cyanobacteria,palsa,deep,Nitrate reductase,Nitrate,0.12372924450214534,0.4088093381420299
73.20120700_P3D.68,Bacteria,AD3,palsa,deep,Nitrate reductase,Nitrate,0.17914096309857666,0.6544229540479567
73.20120700_P3D.97,Bacteria,Acidobacteria,palsa,deep,Nitrate reductase,Nitrate,0.055437184193773345,0.2641676490459436
73.20120700_S1D.208,Bacteria,Proteobacteria,bog,deep,Nitrate reductase,Nitrate,0.047200816683926554,0.23686315436973363
73.20120800_E1X.33,Bacteria,Actinobacteria,fen,extradeep,Nitrate reductase,Nitrate,0.14171069171360906,0.5331012051904475
73.20120800_E1X.35,Bacteria,Proteobacteria,fen,extradeep,Nitrate reductase,Nitrate,0.05761886723018748,0.268049312465421
73.20120800_E3S.44,Bacteria,Bacteroidetes,fen,surface,Nitrate reductase,Nitrate,0.08929576821509908,0.3743228162135374
